127.0.0.1, 2015-05-18 16:28:17, GET, /, HTTP/1.1, 303, 0.854000
127.0.0.1, 2015-05-18 16:28:18, GET, /welcome/default/index, HTTP/1.1, 200, 1.106000
127.0.0.1, 2015-05-18 16:28:20, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-05-18 16:28:20, GET, /welcome/static/css/bootstrap-theme.min.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-05-18 16:28:20, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-05-18 16:28:20, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-05-18 16:28:20, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-05-18 16:28:20, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-05-18 16:28:20, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-05-18 16:28:20, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-05-18 16:28:20, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-05-18 16:28:20, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-05-18 16:28:20, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-05-18 16:28:20, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-05-18 16:28:20, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-05-18 16:28:21, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-05-18 16:28:21, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-05-18 16:28:21, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-05-18 16:28:23, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-05-18 16:28:43, GET, /, HTTP/1.1, 303, 0.002000
127.0.0.1, 2015-05-18 16:28:43, GET, /welcome/default/index, HTTP/1.1, 200, 0.159000
127.0.0.1, 2015-05-18 16:28:44, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2015-05-18 16:28:44, GET, /welcome/static/css/bootstrap-theme.min.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-05-18 16:28:44, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.014000
127.0.0.1, 2015-05-18 16:28:44, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.016000
127.0.0.1, 2015-05-18 16:28:44, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2015-05-18 16:28:44, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.006000
127.0.0.1, 2015-05-18 16:28:44, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2015-05-18 16:28:44, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-05-18 16:28:44, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2015-05-18 16:28:44, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2015-05-18 16:28:44, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.010000
127.0.0.1, 2015-05-18 16:28:44, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.003000
127.0.0.1, 2015-05-18 16:28:44, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.003000
127.0.0.1, 2015-05-18 16:28:46, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-05-18 16:29:12, GET, /, HTTP/1.1, 303, 0.001000
127.0.0.1, 2015-05-18 16:29:12, GET, /welcome/default/index, HTTP/1.1, 200, 0.082000
127.0.0.1, 2015-05-18 16:29:13, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-05-18 16:29:13, GET, /welcome/static/css/bootstrap-theme.min.css, HTTP/1.1, 200, 0.006000
127.0.0.1, 2015-05-18 16:29:13, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-05-18 16:29:13, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-05-18 16:29:13, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-05-18 16:29:13, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-05-18 16:29:13, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-05-18 16:29:13, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-05-18 16:29:13, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-05-18 16:29:13, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2015-05-18 16:29:13, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-05-18 16:29:13, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-05-18 16:29:40, GET, /admin, HTTP/1.1, 200, 0.885000
127.0.0.1, 2015-05-18 16:29:40, GET, /admin/static/_2.10.4/js/jquery.js, HTTP/1.1, 200, 0.024000
127.0.0.1, 2015-05-18 16:29:40, GET, /admin/static/_2.10.4/css/calendar.css, HTTP/1.1, 200, 0.022000
127.0.0.1, 2015-05-18 16:29:40, GET, /admin/static/_2.10.4/js/web2py.js, HTTP/1.1, 200, 0.012000
127.0.0.1, 2015-05-18 16:29:40, GET, /admin/static/_2.10.4/js/calendar.js, HTTP/1.1, 200, 0.018000
127.0.0.1, 2015-05-18 16:29:40, GET, /admin/static/_2.10.4/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.011000
127.0.0.1, 2015-05-18 16:29:40, GET, /admin/static/_2.10.4/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.021000
127.0.0.1, 2015-05-18 16:29:40, GET, /admin/static/_2.10.4/plugin_multiselect/start.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-05-18 16:29:40, GET, /admin/static/_2.10.4/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.006000
127.0.0.1, 2015-05-18 16:29:40, GET, /admin/static/_2.10.4/css/bootstrap.min.css, HTTP/1.1, 200, 0.007000
127.0.0.1, 2015-05-18 16:29:40, GET, /admin/static/_2.10.4/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.010000
127.0.0.1, 2015-05-18 16:29:40, GET, /admin/static/_2.10.4/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.006000
127.0.0.1, 2015-05-18 16:29:40, GET, /admin/static/_2.10.4/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.006000
127.0.0.1, 2015-05-18 16:29:40, GET, /admin/static/_2.10.4/js/bootstrap.min.js, HTTP/1.1, 200, 0.013000
127.0.0.1, 2015-05-18 16:29:41, GET, /admin/static/_2.10.4/images/questions.png, HTTP/1.1, 200, 0.008000
127.0.0.1, 2015-05-18 16:29:41, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2015-05-18 16:29:42, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2015-05-18 16:29:44, POST, /admin/default/index, HTTP/1.1, 303, 0.160000
127.0.0.1, 2015-05-18 16:29:44, GET, /admin/default/site, HTTP/1.1, 200, 0.187000
127.0.0.1, 2015-05-18 16:29:44, GET, /admin/static/_2.10.4/images/folder_locked.png, HTTP/1.1, 200, 0.005000
127.0.0.1, 2015-05-18 16:29:45, POST, /admin/default/check_version, HTTP/1.1, 200, 0.288000
127.0.0.1, 2015-05-18 16:29:45, GET, /admin/static/_2.10.4/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-05-18 16:29:46, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2015-05-18 16:29:46, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2015-05-18 16:29:57, POST, /admin/default/site, HTTP/1.1, 303, 1.003000
127.0.0.1, 2015-05-18 16:29:58, GET, /admin/default/design/init, HTTP/1.1, 200, 0.697000
127.0.0.1, 2015-05-18 16:29:59, GET, /admin/static/_2.10.4/images/search.png, HTTP/1.1, 200, 0.006000
127.0.0.1, 2015-05-18 16:29:59, GET, /admin/static/_2.10.4/images/help.png, HTTP/1.1, 200, 0.005000
127.0.0.1, 2015-05-18 16:29:59, GET, /admin/static/_2.10.4/images/delete_icon.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-05-18 16:29:59, GET, /admin/static/_2.10.4/images/test_icon.png, HTTP/1.1, 200, 0.006000
127.0.0.1, 2015-05-18 16:29:59, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2015-05-18 16:30:00, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2015-05-18 16:30:09, GET, /init/appadmin/index, HTTP/1.1, 200, 0.778000
127.0.0.1, 2015-05-18 16:30:09, GET, /init/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-05-18 16:30:09, GET, /init/static/css/bootstrap-theme.min.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-05-18 16:30:09, GET, /init/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-05-18 16:30:09, GET, /init/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-05-18 16:30:09, GET, /init/static/js/jquery.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2015-05-18 16:30:09, GET, /init/static/css/calendar.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2015-05-18 16:30:09, GET, /init/static/js/calendar.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2015-05-18 16:30:09, GET, /init/static/js/web2py.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-05-18 16:30:09, GET, /init/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2015-05-18 16:30:09, GET, /init/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-05-18 16:30:09, GET, /init/static/js/share.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2015-05-18 16:30:10, GET, /init/static/images/favicon.ico, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-05-18 16:30:10, GET, /init/appadmin/hooks, HTTP/1.1, 200, 0.316000
